game_date,Name,type,id,attributes.adjusted_odds,prop_line,odds_type,attributes.projection_type,prop_type,PP_ID,position,team_name,image_url,game_date_time
2024-05-10,Framber Valdez,projection,2429175,,33.5,standard,Single Stat,Pitcher Fantasy Score,67725,P,HOU,https://static.prizepicks.com/images/players/mlb/Framber_Valdez_00026bf9-dc12-4711-8443-45fbac448ea0.webp,2024-05-10 18:40:00-04:00
2024-05-10,Yordan Alvarez,projection,2429695,True,0.5,demon,Single Stat,Home Runs,67700,OF,HOU,https://static.prizepicks.com/images/players/mlb/Yordan_Alvarez_fdc9c3af-4ad2-43b1-8537-10732d013ed8.webp,2024-05-10 18:40:00-04:00
2024-05-10,Jared Jones,projection,2429389,,6.5,standard,Single Stat,Pitcher Strikeouts,192811,P,PIT,https://static.prizepicks.com/images/players/placeholder.png,2024-05-10 18:40:00-04:00
2024-05-10,Javier Assad,projection,2429798,,15.5,standard,Single Stat,Pitching Outs,73818,P,CHC,https://static.prizepicks.com/images/players/mlb/Javier_Assad_564bb787-e788-4acf-9dab-1da0e14578e0.webp,2024-05-10 18:40:00-04:00
2024-05-10,Nico Hoerner,projection,2429712,True,0.5,demon,Single Stat,Stolen Bases,69425,IF,CHC,https://static.prizepicks.com/images/players/mlb/Nico_Hoerner_6ea2efc3-345a-4e30-8b95-744a60a3e7a5.webp,2024-05-10 18:40:00-04:00
2024-05-10,Javier Assad,projection,2429800,,4.5,standard,Single Stat,Hits Allowed,73818,P,CHC,https://static.prizepicks.com/images/players/mlb/Javier_Assad_564bb787-e788-4acf-9dab-1da0e14578e0.webp,2024-05-10 18:40:00-04:00
2024-05-10,Jared Jones,projection,2429799,,17.5,standard,Single Stat,Pitching Outs,192811,P,PIT,https://static.prizepicks.com/images/players/placeholder.png,2024-05-10 18:40:00-04:00
2024-05-10,Aaron Judge,projection,2429696,True,0.5,demon,Single Stat,Home Runs,67620,OF,NYY,https://static.prizepicks.com/images/players/mlb/Aaron_Judge_86f7390e-61bd-4556-8325-a6705c7f693b.webp,2024-05-10 18:50:00-04:00
2024-05-10,Jared Jones,projection,2429801,,4.5,standard,Single Stat,Hits Allowed,192811,P,PIT,https://static.prizepicks.com/images/players/placeholder.png,2024-05-10 18:40:00-04:00
2024-05-10,Javier Assad,projection,2429390,,4.5,standard,Single Stat,Pitcher Strikeouts,73818,P,CHC,https://static.prizepicks.com/images/players/mlb/Javier_Assad_564bb787-e788-4acf-9dab-1da0e14578e0.webp,2024-05-10 18:40:00-04:00
2024-05-10,Corbin Carroll,projection,2429713,True,0.5,demon,Single Stat,Stolen Bases,192365,OF,AZ,https://static.prizepicks.com/images/players/mlb/Corbin_Carroll_86b68e79-a041-4fe2-95ea-1e8e0c30e382.webp,2024-05-10 19:05:00-04:00
2024-05-10,Clarke Schmidt,projection,2429176,,29.5,standard,Single Stat,Pitcher Fantasy Score,74520,P,NYY,https://static.prizepicks.com/images/players/mlb/Clarke_Schmidt_98382676-6df3-4b1f-9bc8-8c2f1fd28621.webp,2024-05-10 18:50:00-04:00
2024-05-10,Giancarlo Stanton,projection,2429697,True,0.5,demon,Single Stat,Home Runs,67622,DH,NYY,https://static.prizepicks.com/images/players/mlb/Giancarlo_Stanton_b54ace79-5c94-45d1-873a-7ae90e5c6726.webp,2024-05-10 18:50:00-04:00
2024-05-10,Joey Bart,projection,2429391,,0.5,standard,Single Stat,Total Bases,193529,C,PIT,https://static.prizepicks.com/images/players/mlb/Joey_Bart_9ff4bd8c-c74e-40b3-87f4-359b8ddecc55.webp,2024-05-10 18:40:00-04:00
2024-05-10,Yusei Kikuchi,projection,2429177,,28.5,standard,Single Stat,Pitcher Fantasy Score,67935,P,TOR,https://static.prizepicks.com/images/players/mlb/Yusei_Kikuchi_7160046b-1575-40ab-bd09-9d11bbac7957.webp,2024-05-10 19:07:00-04:00
